date,event,id,name,type,details
2/1/11,City officials ask DOJ to investigate police bureau,54,Portland Police Bureau,flag,Police Commissioner Dan Saltzman and Mayor Sam Adams request DOJ investigation
6/7/11,DOJ investigation,54,Portland Police Bureau,investigation start,DOJ investigation
9/12/12,DOJ investigation findings announced,54,Portland Police Bureau,investigation end,DOJ investigation findings announced
9/12/12,Negotiations,54,Portland Police Bureau,negotiation start,Negotiations
12/17/12,DOJ files complaint,54,Portland Police Bureau,complaint,DOJ files complaint
12/18/12,Police union countersuit,54,Portland Police Bureau,countersuit,Portland Police Association (PPA) files motion to intervene
2/19/13,District Court allows police union to join settlement negotiations,54,Portland Police Bureau,countersuit,District Court allows police union to join settlement negotiations
8/29/14,,54,Portland Police Bureau,negotiation end,
8/29/14,Court order to enter settlement agreement,54,Portland Police Bureau,consent start,Court order to enter settlement agreement
10/27/14,City appeals,54,Portland Police Bureau,countersuit,City appeals
6/7/11,NAACP files lawsuit for discrimination,55,LASD/Antelope Valley,flag,NAACP sues Lancaster for racial discrimination regarding public housing vouchers
8/19/11,DOJ investigation,55,LASD/Antelope Valley,investigation start,DOJ investigation
6/28/13,DOJ investigation findings announced,55,LASD/Antelope Valley,investigation end,DOJ investigation findings announced
6/28/13,Negotiations,55,LASD/Antelope Valley,negotiation start,Negotiations
11/16/11,DOJ investigation,57,"Meridian, County of Lauderdale",investigation start,DOJ investigation
7/9/13,"DOJ investigation findings announced, negotiations",57,"Meridian, County of Lauderdale",investigation end,"DOJ investigation findings announced, negotiations"
7/9/13,Negotiations,57,"Meridian, County of Lauderdale",negotiation start,Negotiations
4/25/12,DOJ investigation,58,Missoula Police Department,investigation start,DOJ investigation
5/14/13,DOJ investigation findings announced,58,Missoula Police Department,investigation end,DOJ investigation findings announced
5/15/13,Memorandum of agreement,58,Missoula Police Department,moa start,Memorandum of agreement
4/25/12,DOJ investigation,59,University of Montana Office of Public Safety,investigation start,DOJ investigation
2/11/14,County attorney brings countersuit,59,University of Montana Office of Public Safety,countersuit,County attorney brings countersuit
2/13/14,DOJ investigation findings announced,59,University of Montana Office of Public Safety,investigation end,DOJ investigation findings announced
5/9/13,Memorandum of understanding,59,University of Montana Office of Public Safety,moa start,DOJ and MCAO Memorandum of Understanding that DOJ will not sue but oversight is handed over to the Montana Attorney General
5/1/12,DOJ investigation,60,Missoula County Attorney's Office,investigation start,DOJ investigation
6/10/14,DOJ investigation findings announced,60,Missoula County Attorney's Office,investigation end,DOJ investigation findings announced
6/10/14,Memorandum of agreement,60,Missoula County Attorney's Office,moa start,Memorandum of agreement
2/8/12,Arizona Attorney General pushes to abolish police department,61,Colorado City Police Department,flag,"Arizona Attorney General Tom Horne pushes legislation to abolish police departments of Colorado City, Arizona"
6/12/12,DOJ investigation,61,Colorado City Police Department,investigation start,DOJ investigation
6/21/12,DOJ complaint,61,Colorado City Police Department,complaint,DOJ complaint
3/16/14,"James Boyd, homeless, mentally ill man, fatally shot by police",62,Albuquerque Police Department,flag,"James Boyd, a homeless man suffering from mental illness, is fatally shot by police in a standoff"
11/27/12,DOJ investigation,62,Albuquerque Police Department,investigation start,DOJ investigation
4/10/14,DOJ investigation findings announced,62,Albuquerque Police Department,investigation end,DOJ investigation findings announced
4/10/14,Negotiations,62,Albuquerque Police Department,negotiation start,Negotiations
11/14/14,,62,Albuquerque Police Department,negotiation end,
11/14/14,Consent decree begins,62,Albuquerque Police Department,consent start,Consent decree begins
8/9/14,Michael Brown fatally shot by Officer Darren Wilson,64,Ferguson Police Department,flag,Michael Brown fatally shot by Officer Darren Wilson
9/1/14,DOJ investigation,64,Ferguson Police Department,investigation start,DOJ investigation
3/4/15,DOJ investigation findings announced,64,Ferguson Police Department,investigation end,DOJ investigation findings announced
3/4/15,Negotiations,64,Ferguson Police Department,negotiation start,Negotiations
4/21/15,DOJ investigation,65,Evangeline Parish Sheriff's Office,investigation start,DOJ investigation
10/5/11,ACLU sues Ville Platte for imposing curfew,66,Ville Platte Police Department,flag,"ACLU sues Ville Platte for imposing ""walking curfew"""
4/21/15,DOJ investigation,66,Ville Platte Police Department,investigation start,DOJ investigation
4/12/15,Death of Freddie Gray while in police custody,67,Baltimore Police Department,flag,Death of Freddie Gray while in police custody
5/6/15,Baltimore mayor asks DOJ for investigation of police,67,Baltimore Police Department,flag,Baltimore Mayor Stephanie Rawlings-Blake requests DOJ investigation
5/8/15,DOJ investigation,67,Baltimore Police Department,investigation start,DOJ investigation
5/26/15,Consent decree reached,21,Cleveland Police Department,consent start,"new guidelines for use of force, investigating police misconduct, and training."
